,ac_charger,battery,bids,damage,dock,duration_days,ebay_id,end_time,feedback_percentage,feedback_score,import_cost,item_condition,item_pictured,item_url,listing_type,location,lot_size,model,os,pri_hd_cap,pri_hd_type,price,processor,ram_cap,sec_hd_cap,sec_hd_type,shipping,sold,start_time,top_rated
0,no,yes,3,none,no,5,132174487082,1493840964000,99.5,57552,18.17,For parts or not working,yes,http://www.ebay.ca/itm/Lenovo-Thinkpad-X220-12-5-Core-i7-2620M-2-70GHz-8GB-Laptop-Parts-Repair-Web-Cam-/132174487082?hash=item1ec6369e2a:g:e7MAAOSw42dZA7Oa,Auction,"Phoenix, Arizona, United States",1,X220,none,0,none,C $142.12,i7-2620M,8,0,none,36.92,True,1493408964000,1
0,yes,yes,37,none,no,3,272652077616,1493838215000,100,509,26.11,Used,yes,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-12-5-Laptop-i7-2620M-8G-RAM-No-Hard-Drive-/272652077616?hash=item3f7b548a30:g:w6MAAOSwcgNZBBdn,Auction,"Los Angeles, California, United States",1,X220,none,0,none,C $220.39,i7-2620M,8,0,none,32.69,True,1493579015000,1
0,yes,yes,0,none,yes,2,142368601035,1493835492000,99.8,3716,0,Used,yes,http://www.ebay.ca/itm/SMALL-Thinkpad-X220-i5-2520M-12-5-256GB-SSD-500GB-12GB-HDMI-FREE-Dock-DVDRW-/142368601035?hash=item2125d473cb:g:xy0AAOSw44BYTOBi,Buy it now,"Cote Saint-Luc, Quebec, Canada",1,X220,unknown,256,SSD,C $501.20,i5-2520M,12,500,HDD,24.99,True,1493640922000,1
0,yes,yes,0,L,no,12,222482415125,1493829464000,100,232,0,Seller refurbished,yes,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-2-60GHz-Core-i5-4GB-250GB-HD-WiFi-Webcam-Win-7-Pro-/222482415125?hash=item33ccfc3e15:g:-DMAAOSwBOtY-P4d,Buy it now,"Toronto, ON, Canada",1,X220,Win 7 Pro 64,250,HDD,220,i5-2540M,4,0,none,24.99,True,1492713097000,1
0,no,yes,0,none,no,0,222497964527,1493823977000,100,536,24.5,For parts or not working,yes,http://www.ebay.ca/itm/Lenovo-Thinkpad-X220-2-Laptops-for-Parts-or-Repair-/222497964527?hash=item33cde981ef:g:fPwAAOSwU8hY4sjW,Auction,"Seattle, Washington, United States",2,X220,none,0,none,C $204.60,unknown,4,0,none,42.74,False,1493823854000,0
0,yes,yes,0,M,no,0,132178801699,1493822967000,99.5,57552,26.04,Used,yes,http://www.ebay.ca/itm/Lenovo-Thinkpad-X220-12-5-Core-i7-2620M-2-70GHz-8GB-500GB-Laptop-Adapter-WiFi-/132178801699?hash=item1ec6787423:g:ozgAAOSwhvFZCeXZ,Buy it now,"Phoenix, Arizona, United States",1,X220,Linux,500,HDD,C $219.69,i7-2620M,8,0,none,13.48,True,1493754490000,1
0,no,no,0,M,no,8,182543995709,1493819784000,99.8,3508,19.08,Used,yes,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-i5-2540M-2-60GHz-8GB-Ram-Webcam-/182543995709?hash=item2a8078533d:g:XQYAAOSw4CFY76iV,Buy it now,"Phoenix, Arizona, United States",1,X220,none,0,none,C $151.03,i5-2540M,8,0,none,13.06,True,1493069264000,1
0,yes,yes,1,none,no,5,391768476479,1493814578000,100,5603,0,For parts or not working,yes,http://www.ebay.ca/itm/Lenovo-Thinkpad-X220-Laptop-Stripped-Sold-As-Is-Parts-Only-/391768476479?hash=item5b37388b3f:g:nRgAAOSwhvFZAzRk,Auction,"Prospect Heights, Illinois, United States",1,X220,none,0,none,C $13.73,none,0,0,none,49.6,True,1493382578000,1
0,yes,yes,0,unknown,no,270,401180956323,1496078783000,98.9,25958,24.65,Seller refurbished,no,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-Core-i5-2-5Ghz-4GB-320GB-Webcam-Windows-7-Pro-12-5-Laptop-/401180956323?hash=item5d683f96a3:g:YIwAAOSwMgdXyGKB,Buy it now,"Teaneck, New Jersey, United States",1,X220,Win 7 Pro 64,320,HDD,C $205.96,i5-2520M,4,0,none,12.93,False,1472750783000,1
0,no,no,10,M,no,7,232313907880,1493773305000,100,108,11.13,Used,yes,http://www.ebay.ca/itm/Nice-Lenovo-Thinkpad-x220-Laptop-w-i5-2520M-2-5GHZ-4GB-12-5in-/232313907880?hash=item3616fceaa8:g:bBQAAOSwRUhY~-7N,Auction,"Ithaca, New York, United States",1,X220,none,0,none,C $72.78,i5-2520M,4,0,none,28.37,True,1493168505000,0
0,yes,yes,0,none,no,90,272560007948,1495117772000,97.5,910,43.46,Seller refurbished,yes,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-Laptop-Tablet-i7-4gb-320GB-HDD-Windows-10-Touch-IPS-/272560007948?hash=item3f75d7ab0c:g:XaEAAOSw9mFWFxaX,Buy it now,"Ann Arbor, Michigan, United States",1,X220 Tablet,Win 10 Pro 64,unknown,unknown,C $391.35,i7-2640M,4,0,none,14.41,False,1487341772000,0
0,no,yes,0,L,no,3,252907375383,1493764184000,94.3,140,30.22,Seller refurbished,yes,http://www.ebay.ca/itm/Lenovo-ThinkPad-X220-428743U-Laptop-Intel-Core-i5-2430M-2-40GHz-8GB-RAM-/252907375383?hash=item3ae2744b17:g:qiAAAOSwSlBY2ri~,Buy it now,"Pittsburgh, Pennsylvania, United States",1,X220,Win 7 Pro 64,160,HDD,C $260.88,i5-2430M,8,0,none,14.24,False,1493504984000,0
0,no,yes,0,none,no,3,252907375404,1493764184000,94.3,140,30.77,Seller refurbished,yes,http://www.ebay.ca/itm/LENOVO-ThinkPad-X220-428743U-Intel-Core-i5-2430M-2-40GHz-8GB-RAM-160GB-HDD-/252907375404?hash=item3ae2744b2c:g:lA0AAOSwZLhY2s8u,Buy it now,"Pittsburgh, Pennsylvania, United States",1,X220,Win 7 Pro 64,160,HDD,C $266.38,i5-2430M,8,0,none,14.29,False,1493504984000,0
